rows,mode,load_time,cpu_percent,size
100000,parquet,0.012533955999970203,11.1,1227135
100000,msgpack,0.005924464003328467,0.0,1000455
100000,HD5,0.011421264000091469,0.0,2860440
100000,pickle.gzip,0.005938389000220923,0.0,152390
100000,feather,0.002903436001361115,0.0,1300264
1000000,parquet,0.11690709400136257,12.0,8563831
1000000,msgpack,0.06090074700114201,14.3,10000455
1000000,HD5,0.042613506000634516,11.8,19062488
1000000,pickle.gzip,0.04395189299975755,18.4,1512774
1000000,feather,0.02093692099879263,16.7,13000264
2000000,parquet,0.22240562099977979,0.0,16568866
2000000,msgpack,0.11611921599978814,13.7,20000455
2000000,HD5,0.08300765600142768,12.5,37064760
2000000,pickle.gzip,0.08668295499956002,11.8,3024585
2000000,feather,0.03376142799970694,14.3,26000264
10000000,parquet,1.1490788200026145,13.4,80613012
10000000,msgpack,0.5459267030018964,13.0,100000455
10000000,HD5,0.3709182670027076,15.5,181082960
10000000,pickle.gzip,0.42865204099871335,13.3,15117460
10000000,feather,0.18406672499986598,13.4,130000264
